properties.name,geometry.type,geometry.coordinates,properties.description,properties.CompanyMetaData.address,properties.CompanyMetaData.Hours.text,coordinates_lon,coordinates_lat
SimpleWine,Point,"[37.714324, 55.621147]","Каширское ш., 61Г, Москва, Россия","Россия, Москва, Каширское шоссе, 61Г","ежедневно, 10:00–22:00",37.714324,55.621147
SimpleWine,Point,"[37.659159, 55.845179]","просп. Мира, 211, корп. 2, Москва, Россия","Россия, Москва, проспект Мира, 211к2","ежедневно, 10:00–22:00",37.659159,55.845179
SimpleWine,Point,"[30.278469, 59.967536]","Вязовая ул., 8, Санкт-Петербург, Россия","Россия, Санкт-Петербург, Вязовая улица, 8","ежедневно, 11:00–22:00",30.278469,59.967536
SimpleWine,Point,"[37.537883, 55.683803]","Ленинский просп., 74, Москва, Россия","Россия, Москва, Ленинский проспект, 74","ежедневно, 10:00–23:00",37.537883,55.683803
SimpleWine,Point,"[37.474695, 55.714506]","Нежинская ул., 5, корп. 2, Москва, Россия","Россия, Москва, Нежинская улица, 5, корп. 2","ежедневно, 10:00–22:00",37.474695,55.714506
SimpleWine,Point,"[37.436319, 55.714546]","Гжатская ул., 5, корп. 1, Москва, Россия","Россия, Москва, Гжатская улица, 5, корп. 1","ежедневно, 10:00–22:00",37.436319,55.714546
SimpleWine,Point,"[37.659367, 55.75706]","ул. Земляной Вал, 33, Москва, Россия","Россия, Москва, улица Земляной Вал, 33","ежедневно, 10:00–23:00",37.659367,55.75706
SimpleWine,Point,"[36.582947, 55.111923]","просп. Ленина, 137, корп. 4, Обнинск, Россия","Россия, Калужская область, Обнинск, проспект Ленина, 137, корп. 4","ежедневно, 11:00–22:00",36.582947,55.111923
SimpleWine,Point,"[37.174538, 55.982094]","ул. Панфилова, 11, Зеленоград, Россия","Россия, Москва, Зеленоград, улица Панфилова, 11","ежедневно, 10:00–23:00",37.174538,55.982094
SimpleWine,Point,"[37.622098, 55.708734]","Большая Тульская ул., 13, Москва, Россия","Россия, Москва, Большая Тульская улица, 13","ежедневно, 10:00–22:00",37.622098,55.708734
SimpleWine,Point,"[37.503846, 55.701303]","Мичуринский просп., 22, корп. 1, Москва, Россия","Россия, Москва, Мичуринский проспект, 22, корп. 1","ежедневно, 10:00–23:00",37.503846,55.701303
SimpleWine,Point,"[37.479481, 55.8784]","ул. Дыбенко, 7/1, Москва, Россия","Россия, Москва, улица Дыбенко, 7/1","ежедневно, 10:00–22:00",37.479481,55.8784
SimpleWine,Point,"[37.550567, 55.683919]","ул. Вавилова, 64/1с1, Москва, Россия","Россия, Москва, улица Вавилова, 64/1с1","пн-чт 09:00–22:00; пт,сб 09:00–23:00; вс 09:00–22:00",37.550567,55.683919
SimpleWine,Point,"[37.395952, 55.910731]","1, район Новокуркино, 8-й микрорайон, Химки, Россия","Россия, Московская область, Химки, 8-й микрорайон, 1","ежедневно, 10:00–23:00",37.395952,55.910731
SimpleWine,Point,"[37.565821, 55.745052]","площадь Киевского Вокзала, 2, Москва, Россия","Россия, Москва, площадь Киевского Вокзала, 2","пн-чт 10:00–22:00; пт,сб 10:00–23:00; вс 10:00–22:00",37.565821,55.745052
SimpleWine,Point,"[37.581416, 55.748109]","Смоленская площадь, 5, Москва, Россия","Россия, Москва, Смоленская площадь, 5","ежедневно, 10:00–22:00",37.581416,55.748109
SimpleWine,Point,"[37.414364, 55.739134]","Ярцевская ул., 24, корп. 1, Москва, Россия","Россия, Москва, Ярцевская улица, 24, корп. 1","ежедневно, 10:00–23:00",37.414364,55.739134
