code,code_check,title,value
130696,130696,Вино:,белое
130696,130696,Сахар:,сухое
130696,130696,Виноград:,трейшадура
130696,130696,Производитель:,Coto de Gomariz
130696,130696,Крепость:,13%
135810,135810,rating,4.7
135810,135810,"Страна, регион:","Испания##, Риоха"
135810,135810,Вино:,розовое
135810,135810,Сахар:,сухое
135810,135810,Виноград:,гарнача##темпранильо
135810,135810,Производитель:,Finca Nueva
135810,135810,Крепость:,13%
135810,135810,Объем:,0.75 л
135810,135810,Регион:,Риоха
135810,135810,Год:,2019
129045,129045,rating,4.6
129045,129045,"Страна, регион:","Франция##, Долина Луары"
129045,129045,Вино:,белое
129045,129045,Сахар:,сухое
129045,129045,Виноград:,совиньон блан
129045,129045,Производитель:,Henri Bourgeois
129045,129045,Крепость:,13%
129045,129045,Объем:,0.75 л
129045,129045,Регион:,Долина Луары
122276,122276,rating,4.3
122276,122276,"Страна, регион:",Австралия
122276,122276,Вино:,белое
122276,122276,Сахар:,полусухое
122276,122276,Виноград:,шардоне 100%
122276,122276,Производитель:,Lindeman's
122276,122276,Крепость:,13%
122276,122276,Объем:,0.75 л
122276,122276,Год:,2019
122276,122276,Потенциал хранения:,3-5 лет.
122276,122276,Категория:,Australian Geographical Indications (GI)
130898,130898,rating,4.1
130898,130898,"Страна, регион:","Италия##, Тоскана"
130898,130898,Вино:,белое
130898,130898,Сахар:,сухое
130898,130898,Виноград:,верментино
130898,130898,Производитель:,Castello Banfi
130898,130898,Крепость:,13%
130898,130898,Объем:,0.75 л
130898,130898,Регион:,Тоскана
130898,130898,Год:,2020
130898,130898,Потенциал хранения:,2-3 года.
135522,135522,rating,4.5
135522,135522,"Страна, регион:","Россия##, Кубань"
135522,135522,Вино:,белое
135522,135522,Сахар:,сухое
135522,135522,Виноград:,рислинг
135522,135522,Производитель:,Сикоры
135522,135522,Крепость:,13%
135522,135522,Объем:,0.75 л
135522,135522,Регион:,Кубань
135522,135522,Год:,2019
135522,135522,Потенциал хранения:,5-6 лет.
137377,137377,rating,0.0
137377,137377,"Страна, регион:","Испания##, Риоха"
137377,137377,Вино:,красное
137377,137377,Сахар:,сухое
137377,137377,Виноград:,темпранильо
137377,137377,Производитель:,Hacienda Lopez de Haro
137377,137377,Крепость:,13%
137377,137377,Объем:,0.75 л
137377,137377,Регион:,Риоха
137377,137377,Год:,2020
130696,130696,Объем:,0.75 л
130696,130696,Регион:,Галисия
130696,130696,Год:,2020
130696,130696,Потенциал хранения:,3-4 года.
130696,130696,Аппелласьон:,Ribeiro DO
130696,130696,Категория:,Denominacion de Origen (DO)
130696,130696,Декантация:,не рекомендуется
130696,130696,Выдержка в емкости:,Нейтральная емкость
135810,135810,Потенциал хранения:,3-5 лет.
135810,135810,Аппелласьон:,Rioja DOCa
135810,135810,Категория:,Denominacion de Origen Calificada (DOCa)
135810,135810,Декантация:,не рекомендуется
135810,135810,Выдержка в емкости:,Нет
129045,129045,Год:,2020
129045,129045,Потенциал хранения:,3-5 лет.
129045,129045,Категория:,Vin de France (VDF)
129045,129045,Декантация:,не рекомендуется
129045,129045,Выдержка в емкости:,Нейтральная емкость
122276,122276,Декантация:,не рекомендуется
122276,122276,Выдержка в емкости:,Бочка
130898,130898,Аппелласьон:,Toscana IGT
130898,130898,Категория:,Indicazione Geografica Tipica (IGT)
130898,130898,Декантация:,не рекомендуется
130898,130898,Выдержка в емкости:,Нет
135522,135522,Аппелласьон:,ЗГУ Кубань. Новороссийск
135522,135522,Декантация:,не рекомендуется
135522,135522,Выдержка в емкости:,Бочка
137377,137377,Потенциал хранения:,4-5 лет.
137377,137377,Аппелласьон:,Rioja DOCa
137377,137377,Категория:,Denominacion de Origen Calificada (DOCa)
137377,137377,Декантация:,аэрация
137377,137377,Выдержка в емкости:,Бочка
132272,132272,price,1 290 ₽
137380,137380,price,2 190 ₽
132272,132272,rating,4.7
132272,132272,"Страна, регион:","Чили##, Аконкагуа"
132272,132272,Вино:,белое
132272,132272,Сахар:,сухое
132272,132272,Виноград:,шардоне
137380,137380,rating,0.0
137380,137380,"Страна, регион:","Испания##, Каталония"
137380,137380,Вино:,белое
137380,137380,Сахар:,полусухое
137380,137380,Виноград:,чарелло
137380,137380,Производитель:,Casa Berger
137380,137380,Крепость:,11%
137380,137380,Объем:,0.75 л
137380,137380,Регион:,Каталония
132626,132626,price,1 790 ₽
133269,133269,price,1 440 ₽
132589,132589,price,1 190 ₽
136130,136130,price,1 790 ₽
130850,130850,price,1 640 ₽
130730,130730,price,"1 008 ₽                                        
                        "
132272,132272,Производитель:,Santa Carolina
132272,132272,Крепость:,13%
132272,132272,Объем:,0.75 л
132272,132272,Регион:,Аконкагуа
132272,132272,Год:,2020
132272,132272,Потенциал хранения:,3-5 лет.
132272,132272,Аппелласьон:,Valle de Leyda
132272,132272,Категория:,Denominacion de Origen (DO)
132272,132272,Декантация:,не рекомендуется
132272,132272,Выдержка в емкости:,Бочка
137380,137380,Год:,2021
137380,137380,Потенциал хранения:,4-5 лет.
137380,137380,Аппелласьон:,Penedes DO
137380,137380,Категория:,Denominacion de Origen (DO)
132626,132626,rating,4.1
132626,132626,"Страна, регион:","Италия##, Тоскана"
132626,132626,Вино:,красное
133269,133269,rating,4.8
133269,133269,"Страна, регион:","Франция##, Долина Луары"
133269,133269,Вино:,розовое
133269,133269,Сахар:,полусухое
133269,133269,Виноград:,гаме##гролло##каберне фран
133269,133269,Производитель:,Marcel Martin
133269,133269,Крепость:,11%
133269,133269,Объем:,0.75 л
133269,133269,Регион:,Долина Луары
133269,133269,Год:,2020
132589,132589,rating,4.4
132589,132589,"Страна, регион:","Испания##, Кастилья и Леон"
132589,132589,Вино:,красное
132589,132589,Сахар:,сухое
132589,132589,Виноград:,тинто фино (темпранильо)
132589,132589,Производитель:,Pagos del Rey
132589,132589,Крепость:,13%
132589,132589,Объем:,0.75 л
132589,132589,Регион:,Кастилья и Леон
132589,132589,Год:,2020
132589,132589,Потенциал хранения:,3-4 года.
136130,136130,rating,4.6
136130,136130,"Страна, регион:","Испания##, Галисия"
136130,136130,Вино:,белое
136130,136130,Сахар:,сухое
136130,136130,Виноград:,альбариньо
136130,136130,Производитель:,Medusa
136130,136130,Крепость:,12%
136130,136130,Объем:,0.75 л
136130,136130,Регион:,Галисия
136130,136130,Год:,2021
136130,136130,Потенциал хранения:,2-3 года.
136130,136130,Аппелласьон:,Rias Baixas DO
130850,130850,rating,5.0
130850,130850,"Страна, регион:",Испания
130850,130850,Вино:,красное
130850,130850,Сахар:,полусухое
130850,130850,Виноград:,шираз##монастрель
130850,130850,Производитель:,Demuerte
130850,130850,Крепость:,14%
130850,130850,Объем:,0.75 л
130850,130850,Год:,2019
130850,130850,Потенциал хранения:,4-5 лет.
130850,130850,Аппелласьон:,Yecla DO
130730,130730,rating,4.2
130730,130730,"Страна, регион:","Испания##, Наварра"
130730,130730,Вино:,красное
130730,130730,Сахар:,сухое
130730,130730,Виноград:,гарнача##каберне совиньон##мерло##темпранильо
130730,130730,Производитель:,Bodegas Chivite
130730,130730,Крепость:,13%
130730,130730,Объем:,0.75 л
130730,130730,Регион:,Наварра
130730,130730,Год:,2017
130730,130730,Потенциал хранения:,5-8 лет.
130730,130730,Аппелласьон:,Navarra DO
132448,132448,price,1 990 ₽
132274,132274,price,1 290 ₽
125670,125670,price,"1 718 ₽                                        
                        "
133655,133655,price,1 290 ₽
132626,132626,Сахар:,сухое
133269,133269,Потенциал хранения:,2-5 лет.
133269,133269,Аппелласьон:,Rose d'Anjou AOP
133269,133269,Категория:,Appellation d’Origine Protegee (AOP)
133269,133269,Декантация:,не рекомендуется
133269,133269,Выдержка в емкости:,Нет
132589,132589,Аппелласьон:,Ribera del Duero DO
132589,132589,Категория:,Denominacion de Origen (DO)
132589,132589,Декантация:,аэрация
132589,132589,Выдержка в емкости:,Нейтральная емкость
136130,136130,Категория:,Denominacion de Origen (DO)
136130,136130,Выдержка в емкости:,Нейтральная емкость
130850,130850,Категория:,Denominacion de Origen (DO)
130850,130850,Декантация:,аэрация
130850,130850,Выдержка в емкости:,Бочка
130730,130730,Категория:,Denominacion de Origen (DO)
130730,130730,Декантация:,аэрация
130730,130730,Выдержка в емкости:,Бочка
132448,132448,rating,4.7
132448,132448,"Страна, регион:","Франция##, Юго-Запад"
132448,132448,Вино:,белое
132448,132448,Сахар:,сухое
132448,132448,Виноград:,шардоне
132448,132448,Производитель:,Domaine Tariquet
132448,132448,Крепость:,11%
132448,132448,Объем:,0.75 л
132448,132448,Регион:,Юго-Запад
132448,132448,Год:,2020
132448,132448,Потенциал хранения:,5-8 лет.
132274,132274,rating,4.6
132274,132274,"Страна, регион:","Чили##, Центральная Долина"
132274,132274,Вино:,красное
132274,132274,Сахар:,сухое
132274,132274,Виноград:,карменер
132274,132274,Производитель:,Santa Carolina
132274,132274,Крепость:,13%
132274,132274,Объем:,0.75 л
132274,132274,Регион:,Центральная Долина
132274,132274,Год:,2019
132274,132274,Потенциал хранения:,4-6 лет.
132274,132274,Аппелласьон:,Valle de Cachapoal
132274,132274,Категория:,Denominacion de Origen (DO)
132274,132274,Декантация:,не рекомендуется
132274,132274,Выдержка в емкости:,Бочка
125670,125670,rating,4.5
133655,133655,rating,4.5
133655,133655,"Страна, регион:","Аргентина##, Мендоса"
133655,133655,Вино:,красное
133655,133655,Сахар:,сухое
133655,133655,Виноград:,мальбек
133655,133655,Производитель:,Luigi Bosca
133655,133655,Крепость:,14%
133655,133655,Объем:,0.75 л
133655,133655,Регион:,Мендоса
133655,133655,Год:,2020
133655,133655,Потенциал хранения:,3-5 лет.
133655,133655,Аппелласьон:,Lujan de Cuyo
133655,133655,Категория:,Indicacion Geografica (IG)
133655,133655,Декантация:,аэрация
133655,133655,Выдержка в емкости:,Бочка
132626,132626,Виноград:,каберне совиньон##канайоло##санджовезе
132626,132626,Производитель:,Castello Banfi
132626,132626,Крепость:,13%
132626,132626,Объем:,0.75 л
132626,132626,Регион:,Тоскана
132626,132626,Год:,2020
132626,132626,Потенциал хранения:,3-5 лет.
132626,132626,Аппелласьон:,Chianti DOCG
132626,132626,Категория:,Denominazione di Origine Controllata e Garantita (DOCG)
132626,132626,Декантация:,аэрация
132626,132626,Выдержка в емкости:,Нейтральная емкость
132448,132448,Аппелласьон:,Cotes de Gascogne IGP
132448,132448,Категория:,Indication Geographique Protegee (IGP)
132448,132448,Декантация:,не рекомендуется
132448,132448,Выдержка в емкости:,Нейтральная емкость
125670,125670,"Страна, регион:","Италия##, Трентино-Альто Адидже"
125670,125670,Вино:,розовое
125670,125670,Сахар:,сухое
125670,125670,Виноград:,пино нуар##мерло##мускат желтый
125670,125670,Производитель:,Colterenzio
125670,125670,Крепость:,12%
125670,125670,Объем:,0.75 л
125670,125670,Регион:,Трентино-Альто Адидже
125670,125670,Год:,2020
125670,125670,Потенциал хранения:,2-3 года.
125670,125670,Категория:,Indicazione Geografica Tipica (IGT)
125670,125670,Декантация:,не рекомендуется
125670,125670,Выдержка в емкости:,Нейтральная емкость
113054,113054,price,1 640 ₽
115966,115966,price,1 220 ₽
107476,107476,price,5 690 ₽
113054,113054,rating,4.4
113054,113054,"Страна, регион:",Австралия
113054,113054,Вино:,красное
113054,113054,Сахар:,полусухое
113054,113054,Виноград:,мерло
113054,113054,Производитель:,Lindeman's
113054,113054,Крепость:,13%
113054,113054,Объем:,0.75 л
113054,113054,Год:,2017
113054,113054,Потенциал хранения:,5-7 лет.
113054,113054,Категория:,Australian Geographical Indications (GI)
113054,113054,Декантация:,аэрация
113054,113054,Выдержка в емкости:,Бочка
115966,115966,rating,4.6
115966,115966,"Страна, регион:","Италия##, Венето"
115966,115966,Вино:,красное
115966,115966,Сахар:,полусухое
115966,115966,Виноград:,мерло 85%##корвина веронезе 8%##санджовезе 7%
115966,115966,Производитель:,Amatore
115966,115966,Крепость:,13%
115966,115966,Объем:,0.75 л
115966,115966,Регион:,Венето
115966,115966,Год:,2017
115966,115966,Потенциал хранения:,1-3 года.
115966,115966,Аппелласьон:,Veronese IGT
107476,107476,rating,4.5
107476,107476,"Страна, регион:","Франция##, Бордо"
107476,107476,Вино:,красное
107476,107476,Сахар:,сухое
107476,107476,Виноград:,мерло 80%##каберне фран 15%##мальбек 5%
107476,107476,Производитель:,Chаteau Siaurac
107476,107476,Крепость:,13%
107476,107476,Объем:,0.75 л
107476,107476,Регион:,Бордо
107476,107476,Год:,2014
107476,107476,Потенциал хранения:,15-17 лет.
107476,107476,Аппелласьон:,Lalande-de-Pomerol AOC
107476,107476,Категория:,Appellation d'Origine Controlee (AOC)
107476,107476,Выдержка в емкости:,Бочка
107285,107285,price,5 390 ₽
125631,125631,price,7 990 ₽
109421,109421,price,2 990 ₽
131094,131094,price,5 490 ₽
115966,115966,Категория:,Indicazione Geografica Tipica (IGT)
115966,115966,Декантация:,не рекомендуется
115966,115966,Выдержка в емкости:,Нейтральная емкость
107285,107285,rating,4.8
107285,107285,"Страна, регион:","Испания##, Риоха"
107285,107285,Вино:,красное
107285,107285,Сахар:,сухое
107285,107285,Виноград:,темпранильо 100%
107285,107285,Производитель:,Finca Nueva
107285,107285,Крепость:,14%
107285,107285,Объем:,0.75 л
107285,107285,Регион:,Риоха
107285,107285,Год:,2005
107285,107285,Потенциал хранения:,20-25 лет.
107285,107285,Аппелласьон:,Rioja DOCa
107285,107285,Категория:,Denominacion de Origen Calificada (DOCa)
107285,107285,Декантация:,аэрация
107285,107285,Выдержка в емкости:,Бочка
125631,125631,rating,4.5
125631,125631,"Страна, регион:","Испания##, Каталония"
125631,125631,Вино:,красное
125631,125631,Сахар:,сухое
125631,125631,Виноград:,макабео##гарнача бланка##гарнача##кариньян
109421,109421,rating,4.5
109421,109421,"Страна, регион:","Франция##, Бордо"
109421,109421,Вино:,красное
109421,109421,Сахар:,сухое
109421,109421,Виноград:,мерло 70%##каберне совиньон 30%
109421,109421,Производитель:,Vignobles Butler
109421,109421,Крепость:,13%
109421,109421,Объем:,0.75 л
109421,109421,Регион:,Бордо
109421,109421,Год:,2014
109421,109421,Потенциал хранения:,7-10 лет.
109421,109421,Аппелласьон:,Graves AOC
109421,109421,Категория:,Appellation d'Origine Controlee (AOC)
109421,109421,Декантация:,аэрация
109421,109421,Выдержка в емкости:,Бочка
131094,131094,rating,4.9
131094,131094,"Страна, регион:","Франция##, Бургундия"
131094,131094,Вино:,белое
131094,131094,Сахар:,сухое
131094,131094,Виноград:,шардоне
131094,131094,Производитель:,Joseph Drouhin
116552,116552,price,1 490 ₽
132785,132785,price,3 490 ₽
133241,133241,price,2 690 ₽
127740,127740,price,5 490 ₽
132962,132962,price,3 790 ₽
129316,129316,price,3 690 ₽
131091,131091,price,2 890 ₽
125631,125631,Производитель:,Alvaro Palacios
125631,125631,Крепость:,14%
125631,125631,Объем:,0.75 л
125631,125631,Регион:,Каталония
125631,125631,Год:,2018
125631,125631,Потенциал хранения:,5-7 лет.
125631,125631,Аппелласьон:,Priorat DOC
125631,125631,Категория:,Denominacion de Origen Calificada (DOCa)
131094,131094,Крепость:,12%
131094,131094,Объем:,0.75 л
131094,131094,Регион:,Бургундия
131094,131094,Год:,2020
131094,131094,Потенциал хранения:,3-4 года.
131094,131094,Аппелласьон:,Chablis AOC
131094,131094,Категория:,Appellation d'Origine Controlee (AOC)
131094,131094,Декантация:,не рекомендуется
131094,131094,Выдержка в емкости:,Нейтральная емкость
116552,116552,rating,4.1
116552,116552,"Страна, регион:","Соединенные Штаты Америки##, Калифорния"
116552,116552,Вино:,красное
116552,116552,Сахар:,полусухое
116552,116552,Виноград:,мерло
116552,116552,Производитель:,Fetzer
116552,116552,Крепость:,13%
116552,116552,Объем:,0.75 л
116552,116552,Регион:,Калифорния
116552,116552,Потенциал хранения:,2-3 года.
132785,132785,rating,4.9
132785,132785,"Страна, регион:","Испания##, Андалусия"
132785,132785,Виноград:,паломино##педро хименес
132785,132785,Производитель:,Valdespino
132785,132785,Крепость:,18%
132785,132785,Объем:,0.75 л
133241,133241,rating,4.7
133241,133241,"Страна, регион:","Испания##, Кастилья и Леон"
133241,133241,Вино:,красное
133241,133241,Сахар:,сухое
133241,133241,Виноград:,тинто фино (темпранильо)
133241,133241,Производитель:,Bodegas Cepa 21
133241,133241,Крепость:,14%
127740,127740,rating,4.5
127740,127740,"Страна, регион:","Италия##, Тоскана"
127740,127740,Вино:,красное
127740,127740,Сахар:,сухое
127740,127740,Виноград:,каберне совиньон 70%##санджовезе 30%
127740,127740,Производитель:,Tenuta San Guido
127740,127740,Крепость:,14%
127740,127740,Объем:,0.75 л
127740,127740,Регион:,Тоскана
127740,127740,Год:,2019
132962,132962,rating,4.4
132962,132962,"Страна, регион:","Аргентина##, Мендоса"
132962,132962,Вино:,красное
132962,132962,Сахар:,сухое
132962,132962,Виноград:,каберне совиньон
